iIdEmpresa,iIdBodega,iIdproducto ,dCantidad
1,6,237,51.0000
1,3,174,3.0000
1,3,180,1.0000
1,1,238,2.0000
1,1,239,0.0000
1,1,240,1200.0000
1,1,241,2.0000
1,5,240,2900.0000
1,1,242,20.0000
1,3,242,466.0000
1,1,243,0.0000
1,6,242,456.0000
1,5,243,1900.0000
1,5,232,300.0000
1,7,147,1.0000
1,7,239,200.0000
1,1,244,0.0000
1,3,244,121.0000
1,3,229,428.0000
1,6,244,3.0000
1,1,245,22.0000
1,6,245,538.0000
1,3,233,9.0000
1,3,234,9.0000
1,3,235,9.0000
1,1,246,0.0000
1,6,246,134.0000
1,5,241,8.0000
1,3,246,3.0000
1,5,239,500.0000
1,1,250,700.0000
1,5,250,7200.0000
1,1,251,1.0000
1,5,176,1.0000
1,1,252,0.0000
1,5,122,2.0000
1,6,252,1.0000
1,6,124,1.0000
1,3,120,22.0000
1,3,143,3.0000
1,1,253,0.0000
1,6,253,21.0000
1,1,254,0.0000
1,5,254,4.0000
1,1,255,0.0000
1,3,255,38.0000
1,7,209,3.0000
1,7,149,8.0000
1,7,150,5.0000
1,7,139,1.0000
1,7,151,2.0000
1,7,230,150.0000
1,7,48,1.0000
1,7,118,1.0000
1,7,119,4.0000
1,7,250,1000.0000
1,7,188,2.0000
1,7,170,5.0000
1,7,198,1.0000
1,7,8,1.0000
1,7,11,1.0000
1,7,19,8.0000
1,7,237,949.0000
1,1,256,0.0000
1,6,62,3.0000
1,3,256,1.0000
1,1,257,0.0000
1,3,257,20.0000
1,3,250,100.0000
1,1,258,0.0000
1,1,259,0.0000
1,5,258,1.0000
1,6,259,12.0000
1,1,260,17.0000
1,3,260,47.0000
1,6,133,1.0000
1,3,254,1.0000
1,1,261,50.0000
1,7,2,2.0000
1,7,3,2.0000
1,7,179,1.0000
1,7,232,200.0000
1,7,236,1.0000
1,7,155,1.0000
1,7,240,100.0000
1,7,242,3.0000
1,7,260,1.0000
1,7,229,10.0000
1,6,233,9.0000
1,6,234,9.0000
1,6,235,9.0000
1,1,262,2.0000
1,3,41,3.0000
1,3,262,1.0000
1,1,263,2.0000
1,6,262,1.0000
