CodigoNOM,U# De Ent,CANT,idcodigo
01.005.0130,LITRO,20,533
01.005.0131,LITRO,24,534
01.005.0132,LITRO,8,535
01.005.0133,LITRO,16,536
01.005.0134,LITRO,1,537
01.005.0135,LITRO,1,538
01.005.0136,UNIDADES,1,539
01.005.0137,LITRO,8,540
01.005.0138,UNIDADES,3,541
01.005.0139,CAJA,4,542
01.005.0140,CAJA,2,543
01.005.0141,CAJA,1,544
01.005.0142,KIT,1,545
01.005.0143,CAJA,1,546
01.005.0144,PAQUETE,6,562
01.005.0145,CAJA,2,563
01.005.0146,UNIDADES,4,565
02.001.0001,UNIDADES,3,229
02.001.0002,UNIDADES,5,230
02.001.0004,UNIDADES,6,232
02.001.0007,UNIDADES,5,235
02.001.0008,CAJA,6,236
02.001.0009,UNIDADES,24,237
02.001.0010,UNIDADES,41,238
02.001.0012,PAQUETES,6,240
02.001.0016,UNIDADES,1,244
02.001.0017,UNIDADES,24,245
02.001.0018,UNIDADES,13,246
02.001.0020,UNIDADES,4,248
02.001.0021,UNIDADES,4,249
02.001.0022,UNIDADES,1,250
02.001.0023,UNIDADES,2,251
02.001.0024,UNIDADES,3,252
02.001.0025,LITRO,5,253
02.001.0026,UNIDADES,3,254
02.001.0027,UNIDADES,1,255
02.001.0028,UNIDADES,3,256
02.001.0029,PAQUETES,8,257
02.001.0030,1/4LITRO,7,258
02.001.0031,LITRO,5,456
02.001.0032,UNIDADES,75,475
02.001.0033,UNIDADES,16,476
02.001.0034,UNIDADES,2,477
02.001.0036,UNIDADES,1,552
02.001.0037,UNIDADES,1,553
02.001.0038,UNIDADES,21,554
02.001.0039,UNIDADES,4,555
02.001.0040,PAQUETES,2,556
02.001.0041,GRAMOS,3100,557
02.001.0042,UNIDADES,6,558
03.001.0001,UNIDADES,2,175
03.001.0002,UNIDADES,2,176
03.001.0003,UNIDADES,2,177
03.001.0004,PAQUETES,9,178
03.001.0005,PAQUETES,6,179
03.001.0006,UNIDADES,1,180
03.001.0007,UNIDADES,24,181
03.001.0011,UNIDADES,2,185
03.001.0012,CAJA,2,186
03.001.0013,UNIDADES,2,187
03.001.0014,UNIDADES,16,188
03.001.0015,CAJAS,13,189
03.001.0016,UNIDADES,1900,190
03.001.0017,CAJAS,2,191
03.001.0018,UNIDADES,64,192
03.001.0019,UNIDADES,3,193
03.001.0020,CAJAS,1,194
03.001.0021,UNIDADES,17,195
03.001.0022,UNIDADES,8,196
03.001.0023,CAJA,2,197
03.001.0024,UNIDADES,14,198
03.001.0025,UNIDADES,12,199
03.001.0027,UNIDADES,960,201
03.001.0028,UNIDADES,53,202
03.001.0029,UNIDADES,90,203
03.001.0030,UNIDADES,99,204
03.001.0031,UNIDADES,334,205
03.001.0033,UNIDADES,75,207
03.001.0034,UNIDADES,79,208
03.001.0035,UNIDADES,3,209
03.001.0037,UNIDADES,1,211
03.001.0038,UNIDADES,2,212
03.001.0039,CAJA,3,213
03.001.0040,UNIDADES,1,214
03.001.0041,UNIDADES,1,215
03.001.0042,UNIDADES,3,216
03.001.0043,UNIDADES,24,217
03.001.0044,UNIDADES,3,218
03.001.0045,UNIDADES,2,219
03.001.0046,UNIDADES,1,220
03.001.0047,UNIDADES,1,221
03.001.0048,UNIDADES,1,222
03.001.0049,UNIDADES,1,223
03.001.0050,UNIDADES,1,224
03.001.0051,UNIDADES,22,225
03.001.0052,FUNDA,2,226
03.001.0053,UNIDADES,600,227
03.001.0054,UNIDADES,1,228
03.001.0055,UNIDADES,625,559
03.001.0056,UNIDADES,700,560
03.001.0057,UNIDADES,3,564
