iIdConsultorio,CodReferencia,iidproducto,Cantidad,CantidadUsada
11,347,1219,0,0
2,963,45,4,4
3,801,20,0,0
3,596,790,0,0
2,348,586,0,0
19,150,15,77,81
3,746,1096,0,0
16,47,110,66,54
5,744,488,1736,108
4,648,931,20,18
18,141,1783,166,138
3,412,1179,462,44
2,966,540,0,0
14,12,16,0,0
18,147,535,6,6
4,868,15,3,3
4,410,1097,0,0
19,156,716,3,2
5,485,1195,0,0
3,563,34,0,0
19,68,1569,21,24
4,716,639,73,4
18,93,34,0,0
2,926,1018,0,0
4,683,493,0,0
3,876,535,0,0
5,702,156,1107,29
2,101,789,0,0
2,966,1101,8,8
2,718,102,14,16
5,336,1092,0,0
4,895,118,0,0
16,423,67,99,86
10,117,926,0,0
5,744,717,0,0
16,412,1066,0,0
2,964,497,0,0
3,364,14,0,0
10,61,992,0,0
3,158,661,238,115
2,126,792,0,0
16,193,4,109,10
2,938,1562,0,0
4,898,1595,0,0
2,926,1104,0,0
5,868,7,98,175
16,375,691,0,0
4,800,138,12,10
19,161,72,28,61
5,495,1006,6,2
4,769,1137,0,0
5,9,90,0,0
3,103,57,69,43
3,862,1139,0,0
2,583,1270,1,20
4,760,1220,0,0
5,127,173,240,168
6,649,1024,1,2
3,876,1451,0,0
4,138,304,0,0
2,847,42,22,4
4,890,533,0,0
16,601,107,342,242
3,332,1099,0,0
16,415,24,301,28
16,447,794,0,0
19,141,719,1,6
3,429,1036,0,0
2,595,1290,536,8
3,822,120,0,0
6,813,45,2,2
5,399,70,295,12
11,338,154,0,0
2,475,1244,0,0
5,718,1475,0,0
6,876,1032,196,130
2,104,786,0,0
6,857,33,4,11
2,721,16,0,0
5,540,1017,6,9
4,732,66,421,40
5,52,18,1227,43
5,323,788,0,0
19,132,982,100,215
2,701,99,101,6
4,855,690,42,24
19,157,733,21,21
2,456,1181,0,0
5,411,1183,2201,446
2,741,494,0,0
2,508,1264,0,0
3,596,904,0,0
16,590,1,9,9
19,136,109,2,1
3,629,1405,259,290
2,66,119,0,0
2,640,660,0,0
4,895,1480,0,0
3,716,718,0,0
3,641,947,0,0
2,470,514,0,0
2,338,1055,0,0
5,18,81,0,0
3,45,31,33,33
16,601,84,450,115
3,862,260,0,0
2,43,56,894,38
16,349,21,30,50
16,509,1561,17,30
5,345,141,0,0
2,707,663,21,17
5,369,1140,0,0
14,1,1104,0,0
4,737,43,2094,163
2,920,1516,0,0
6,882,534,0,0
2,771,1058,35,2
2,485,600,681,2
5,116,536,0,0
2,954,142,9,8
16,614,41,6,4
16,545,1581,398,26
5,807,38,99,37
2,784,537,5,5
5,713,662,16,7
10,63,45,0,0
10,63,586,0,0
16,580,1289,151,47
11,292,790,0,0
3,873,1448,0,0
2,911,33,0,0
6,683,99,0,0
3,611,838,0,0
5,351,1,0,0
3,199,151,0,0
2,688,511,0,0
5,854,84,0,0
2,964,1593,0,0
2,929,594,0,0
4,410,69,0,0
16,194,788,7,7
16,427,1017,2,5
11,404,535,0,0
19,161,979,20,31
16,441,1475,0,0
9,72,27,0,0
4,775,1463,0,0
16,193,1183,1,1
4,737,6,0,0
2,958,1138,0,0
5,864,41,0,0
2,676,1450,0,0
16,551,38,7,4
11,331,1202,0,0
6,673,663,35,6
2,312,763,0,0
16,492,1057,117,141
2,954,534,0,0
14,3,1024,0,0
2,771,846,1128,56
5,404,665,0,0
3,865,715,0,0
5,825,1289,89,3
3,92,486,51,43
19,161,1480,0,0
11,234,910,0,0
4,905,109,2,2
16,612,662,5,2
3,675,675,0,0
6,857,142,170,91
4,720,733,5,4
16,176,141,3433,862
5,765,1561,0,0
5,399,21,14,4
16,256,1140,14,17
3,484,71,0,0
19,37,66,4,8
1,25,662,0,0
16,564,536,0,0
4,648,670,0,0
3,744,154,0,0
4,908,45,12,16
4,908,118,0,0
4,908,534,2,2
4,908,535,0,0
4,908,540,0,0
4,908,1569,27,27
2,970,535,0,0
2,970,540,0,0
2,970,1451,0,0
5,871,41,0,0
5,871,72,0,0
5,871,497,0,0
5,871,534,0,0
5,871,540,0,0
5,871,670,585,152
5,871,1569,54,53
19,168,102,1839,1114
19,168,384,51,4
19,168,535,27,14
19,168,540,0,0
19,168,663,417,204
19,168,714,36,32
3,880,118,2,6
3,880,7,118,130
3,880,535,1,1
3,880,718,361,21
3,880,719,0,0
3,880,870,0,0
3,880,1018,0,0
3,880,1451,20,30
18,150,565,0,0
16,617,41,19,33
16,617,45,0,0
16,617,497,86,96
16,617,535,1,1
16,617,540,0,0
16,617,1596,0,0
6,887,24,477,78
6,887,260,23,29
6,887,535,18,29
5,874,109,6,5
5,874,497,5,7
5,874,535,0,0
5,874,540,0,0
5,874,714,37,54
5,874,717,73,58
5,874,1479,14,27
5,874,1628,46,50
4,911,7,11,21
4,911,670,10,11
4,911,715,0,0
18,152,103,17,19
18,152,535,12,9
18,152,540,5,5
19,171,118,43,32
19,171,535,84,27
19,171,540,0,0
19,171,715,42,103
19,171,979,69,190
2,973,535,0,0
2,973,540,0,0
2,973,924,0,0
