Talonario,NumFactura,NumFacturaRef,DatoAdicional
1112769519,8754,43447,
1112769519,8755,43448,
1112905778,9351,43449,
1112905778,9352,43450,
1112905778,9353,43451,
1112905778,9354,43452,
1112905778,9355,43453,
1112769519,8756,43454,
1112905778,9356,43455,
1112905778,9357,43456,
1112905778,9358,43457,
1112769519,8757,43459,
1112769519,8758,43460,
1112769519,8759,43458,
1112905778,9359,43461,
1112905778,9360,43462,
1112905778,9361,43463,
1112905778,9362,43464,
1112905778,9362,43465,
1112905778,9362,43466,
1112905778,9363,43467,
1112769519,8760,43468,
1112769519,8761,43469,
1112905778,9364,43470,
1112905778,9364,43471,
1112905778,9365,43472,
1112905778,9366,43455,
1112905778,9367,43473,
1112905778,9368,43474,
1112769519,8762,43475,
1112905778,9369,43476,
1112769519,8763,43477,
1112905778,9370,43478,
1112905778,9371,43479,
1112769519,8764,43480,
1112769519,8765,43481,
1112905778,9372,43482,
1112905778,9372,43483,
1112905778,9373,43484,
1112905778,9374,43485,
1112769519,8766,43486,
1112905778,9375,43487,
1112769519,8767,43488,
1112905778,9376,43489,
1112905778,9377,43490,
1112905778,9378,43491,
1112905778,9379,43492,
1112769519,8768,43493,
1112769519,8769,43494,
1112905778,9380,43495,
1112905778,9381,43496,
1112769519,8770,43497,
1112769519,8771,43498,
1112905778,9382,43499,
1112905778,9383,43503,
1112905778,9384,43500,
1112905778,9384,43501,
1112905778,9384,43502,
1112905778,9385,43504,
1112769519,8772,43505,
1112769519,8772,43506,
1112905778,9386,43507,
1112905778,9387,43508,
1112769519,8773,43509,
1112905778,9388,43510,
1112769519,8774,43511,
1112769519,8775,43512,
1112769519,8776,43513,
1112905778,9389,43514,
1112905778,9390,43515,
1112769519,8777,43516,
1112905778,9391,43517,
1112905778,9391,43518,
1112905778,9391,43519,
1112769519,8778,43520,
1112769519,8779,43521,
1112905778,9392,43522,
1112905778,9393,43523,
1112905778,9393,43524,
1112905778,9394,43525,
1112905778,9395,43527,
1112905778,9396,43526,
1112905778,9397,43528,
1112905778,9398,43529,
1112769519,8780,43530,
1112769519,8781,43531,
1112769519,8782,43532,
1112905778,9399,43533,
1112905778,9400,43534,
1112905778,9400,43535,
1112769519,8783,43536,
1112769519,8784,43537,
