iidGarantia,iidDetalle
218975,214352
218986,167913
219017,206857
219018,146813
219078,218532
219170,206971
219180,211733
219181,211734
219182,211735
219183,211741
219184,211743
219185,211744
219186,211745
219187,211746
219188,211747
219189,211748
219190,211749
219191,211750
219192,211751
219218,127465
219225,195386
219261,206973
219437,219277
219442,213588
219599,187256
219627,159542
219771,159714
219876,159716
219889,215109
219912,132149
219956,187617
220011,218404
220133,215507
220170,187404
220782,199246
221325,220005
221395,221112
221846,220086
221877,220963
221897,134941
221935,159503
221944,221038
222006,135132
222007,135141
222067,159504
222069,159505
222149,51141
222150,51737
222151,51738
222193,162170
222215,173155
222239,220572
222248,167553
222288,124107
222289,138241
222308,115026
222309,115029
222362,162170
222381,173156
222392,124108
222394,139487
222397,124838
222437,162170
222576,182507
222587,54520
222735,54521
222736,54522
222783,182508
222786,182677
222892,200808
223035,201050
223040,201325
223056,211391
223189,201453
223207,115268
223208,115270
223209,223207
223210,223208
223274,72173
223322,173166
223323,170791
223324,170790
223383,221269
223471,171145
223472,171144
223473,171143
223492,173413
223493,173412
223494,173409
223692,208480
223886,201644
224028,75747
224034,201784
224089,202313
224402,193202
224557,85876
224609,224061
224640,224089
224672,75490
224673,182810
224681,193552
224757,224640
224944,75491
224945,75494
224975,193614
225167,222365
225265,199148
225312,223040
225331,211472
225515,224814
225600,213166
225786,213533
225788,225786
225794,204921
225807,223164
225862,208107
225875,201579
225954,221861
225967,199426
226076,223692
226102,206892
226363,225862
226484,226142
226514,222736
226613,173164
226834,224647
226891,85784
227079,122157
227575,209751
227637,203967
227703,211945
227738,204366
228029,225611
228043,227856
228123,226197
228298,225745
228375,226834
228376,224648
228378,224649
228379,224650
228416,224861
228441,222871
228511,200852
228512,179621
228528,201765
228608,200887
228609,179703
228644,167016
228683,224415
228857,167210
228862,167016
228905,219627
228919,201908
229055,202022
229056,202073
229060,219771
229061,219876
229063,167214
229244,223294
229248,221131
229496,202321
229497,202323
229828,219257
230186,218400
230254,218466
230256,218470
230421,218677
230422,218818
230710,205996
230726,229143
230818,226211
230819,226210
231107,230967
231243,231107
231342,174004
231428,225168
231467,174105
231468,174437
231513,211447
231949,226051
232084,230039
232087,230361
232157,231394
232176,205386
232322,220207
232324,220207
232325,222239
232357,226435
232487,226757
232526,224028
232555,216737
232634,219695
232674,221452
232684,221134
232699,227848
232724,220684
232791,226926
233049,220583
233075,206930
233099,210294
233100,210295
233154,232023
233548,232437
233558,183761
233559,183762
233560,232022
233590,232966
233620,210466
233621,233558
233632,212700
233733,232023
233734,232438
233783,212802
233784,211110
233787,210458
233884,184178
233885,204173
233924,227040
233985,173537
233986,173590
233987,173591
233988,173592
233989,173589
233990,173593
233991,173594
234094,206648
234096,206650
234127,219956
234136,230461
234164,226296
234166,226295
234167,226298
234168,226302
234171,232818
234272,173664
234273,173668
234274,173670
234275,173672
234276,173666
234277,173674
234278,173676
234283,233733
234450,158086
234452,122979
234477,233994
234593,232318
234655,232674
234660,221480
234725,232861
235026,173867
235217,234734
235443,221522
235462,110054
236198,235133
236255,164071
236256,164070
236258,235284
236403,229464
236404,232358
236461,205727
236464,234896
236499,236403
236516,212481
236563,232569
236592,139085
236643,235059
236644,235632
236652,205727
236656,208854
236714,215369
236736,204869
236971,236180
237037,235198
237055,188858
237060,188858
237169,226555
237170,226557
237171,226559
237172,226562
237340,235401
237380,237206
237384,235120
237400,237273
237421,215565
237633,235332
237677,237397
237726,235415
237752,235911
237804,237340
237859,227548
238063,237337
238298,237387
238341,234417
238439,227501
238462,234783
238463,234881
238491,238137
238654,203388
238806,238805
239120,235822
239121,235822
239123,235931
239265,238024
239337,220460
239338,220461
239342,236195
239344,218490
239379,218604
239380,218605
239383,236907
239507,54937
239616,226172
239621,226173
239629,238708
239691,215211
239992,215370
240145,215749
240167,223466
240168,223556
240169,223650
240182,214607
240201,188000
240308,216246
240424,240182
240430,236691
240506,238551
240544,238686
240554,240306
240567,151548
240635,178485
240692,240145
240775,232022
240815,227368
240878,236103
240879,236194
240924,227449
240925,227574
240949,164273
241009,236456
241033,188003
241035,188005
241099,188523
241207,238538
241294,232590
241363,241207
241501,218510
241662,241425
241982,217154
242294,225685
242295,225683
242348,110055
242815,240064
242834,235851
242907,239516
242981,199940
242982,199940
242983,200424
243006,239310
243037,242008
243175,239310
243244,238496
243637,242066
243639,242213
243658,243615
243659,243617
243715,218154
243718,243262
243725,233505
243777,241702
243791,193266
243798,193443
243804,240636
243926,193446
243977,233748
244039,232844
244043,237237
244085,233343
244086,233345
244087,233347
244088,233348
244089,233350
244111,233800
244128,239080
244303,234938
244325,243837
244342,233601
244343,233602
244344,233605
244345,233606
244346,233607
244482,233756
244483,233756
244484,233756
244485,233756
244486,233756
244487,233756
244614,122658
244633,236479
244684,244414
244875,243405
244986,244441
244992,239232
245106,244705
245139,235373
245212,148808
245239,229248
245270,244323
245382,244571
245407,235650
245623,237614
245635,234655
245659,239221
245664,218508
245772,218524
245774,218630
245781,239553
245810,229731
245898,242834
245911,122410
246151,227389
246159,243643
246222,229814
246235,235792
246253,245382
246340,244562
246354,242232
246417,240151
246501,122976
246543,236040
246628,246543
246632,239735
246759,244071
246760,244072
246869,238777
246959,236689
246967,244630
247062,240692
247166,236718
247210,208547
247267,240308
247285,236718
247368,236718
247408,246651
247496,244645
248142,246848
248155,227439
248183,227443
248228,247802
248335,244150
248544,248378
248693,229225
248702,232298
248703,232299
248953,244967
249106,241607
249510,249392
249604,234047
249782,226076
249791,234550
249794,241493
249795,245788
249830,247369
249835,234186
249873,242831
249968,247681
249970,227575
249971,223800
250130,247642
250206,247566
250251,247642
250343,224402
250359,213093
250365,245220
250370,247368
250430,213170
250431,213241
250463,250356
250471,247601
250533,249746
250578,247642
250598,242000
250600,242525
250624,224975
250659,242296
250663,250240
250664,250240
250703,228919
250705,165453
250706,165454
250707,165456
250708,165457
250709,165458
250756,241984
250762,241987
250770,193708
250775,239795
250877,215498
250981,164892
250989,229055
250990,165626
250991,165627
250992,165628
250993,165629
250994,165630
251034,246361
251079,236618
251131,193708
251135,165112
251257,128651
251259,247642
251659,249212
251660,249548
251661,249548
251662,250559
251728,241531
251741,250040
252052,225670
252053,225669
252054,225671
252146,247489
252148,247604
252169,225920
252171,225921
252173,225922
252200,222215
252254,250260
252342,236956
252367,149751
252378,173158
252455,170001
252615,250370
252899,252800
253207,243939
253228,244052
253571,251256
253622,251335
253628,243717
253701,72879
253729,243778
253827,227733
253829,228005
253831,228006
253856,243778
253884,248791
253885,249156
253888,98870
253889,226120
253891,226123
253892,226125
253990,250883
254018,251966
254041,249947
254095,244086
254096,233346
254097,237513
254110,250320
254111,250322
254112,174004
254123,72881
254187,231468
254214,220772
254319,221129
254370,251343
254424,76051
254428,249671
254440,254245
254450,254244
254471,208595
254553,235682
254556,217914
254561,217928
254562,217920
254625,76051
254657,208735
254658,208769
254691,221131
254693,221452
254824,210165
254825,210166
255016,254857
255187,238570
255335,245684
255422,204784
255493,126604
255494,126607
255503,204879
255521,228710
255523,228711
255524,228712
255589,255503
255590,205002
255679,251634
256222,250498
256234,251842
256258,243278
256263,243589
256324,193202
256332,193552
256333,193572
256334,193572
256565,255025
256566,255108
256567,255026
256568,255111
256625,193574
256817,128817
256831,250623
256912,240161
256947,256356
257025,256990
257031,256991
257252,181873
257307,247490
257338,210966
257347,252146
257439,211116
257440,211182
257507,181874
257776,255493
257783,255494
258085,228862
258234,228857
258236,229063
258257,247683
258290,252462
258321,243708
258492,253676
258572,258456
258575,245792
258576,258575
258582,258531
258661,253880
258704,257567
258705,257568
258706,257569
258707,257570
258711,257580
258715,257581
258753,256923
258878,236269
259000,177241
259107,257665
259108,257666
259109,257667
259110,257668
259111,257673
259112,257678
259115,257665
259116,257666
259117,257667
259244,236355
259245,236737
259298,236266
259312,255165
259327,249951
259330,256950
259331,256951
259409,255512
259466,255598
259472,259298
259473,236738
259621,105359
259664,195192
259665,206658
259666,195194
259687,246553
259827,255256
259919,105361
259963,235712
259999,205492
260021,235784
260025,236688
260075,205686
260077,205728
260382,260212
260583,240263
260691,240403
260766,260379
260946,245776
260991,256979
261133,235270
261391,154137
261392,154139
261395,154140
261403,248866
261406,249558
261467,258104
261525,154333
261526,154334
261527,154335
261528,154341
261529,154343
261530,154344
261615,228742
261751,193708
261904,252502
261925,255342
262127,193708
262288,259919
262323,240772
262324,256426
262363,259266
262452,259641
262524,259741
262662,259232
262697,105362
262844,256508
262845,256508
262997,262658
263061,246379
263062,246379
263063,246379
263241,262323
263685,259785
263742,232703
263753,263391
263834,232862
263836,232862
263837,232862
263952,72883
264042,263482
264134,263592
264337,240630
264338,240632
264352,259719
264380,106884
264423,236865
264545,106887
264658,264545
264777,253711
264778,253712
264779,253713
264780,253715
264895,264615
264898,259841
264902,264723
264916,263739
264963,264447
265036,264545
265058,263923
265102,258876
265176,202069
265215,254135
265216,254136
265217,254137
265218,254138
265264,260110
265274,264046
265435,259907
265438,202309
265477,262816
265479,262814
265480,262813
265481,262815
265482,262816
265483,262817
265486,263111
265487,263112
265488,263113
265489,263431
265490,263117
265492,263808
265495,263807
265496,263809
265497,263810
265498,263811
265545,264577
265570,260036
265589,237216
265593,237637
265596,264662
265678,265036
265732,264714
265735,259908
265754,241531
265755,241637
265847,264348
265960,265147
265979,264241
266020,201028
266021,199298
266208,265703
266294,265845
266378,265219
266425,265419
266483,264825
266509,265680
266519,266492
266637,266617
266643,6195
266763,266667
266764,266668
266841,263269
266852,259266
266952,13399
266953,13400
266954,13400
266956,13401
266968,263449
266979,259641
266980,259741
267087,259872
267108,259872
267279,258785
267305,264382
267306,264382
267347,264382
267348,264382
267548,264084
267549,264085
267550,264086
267551,264089
267552,264090
267553,264091
267701,266261
267702,267701
267840,260248
267842,260352
267959,255261
268034,267524
268036,267527
268037,259195
268039,259196
268040,259197
268042,259198
268043,259200
268044,259204
268128,260479
268164,264916
268184,259741
268291,265274
268313,267987
268325,264200
268326,264201
268327,264212
268328,264215
268329,264216
268330,264218
268331,264087
268341,258339
268348,258391
268382,255268
268431,225030
268462,264348
268545,244413
268624,238728
268625,238970
268799,268682
268935,251257
269334,268191
269398,268246
269399,268401
269418,263629
269422,269017
269455,269313
269517,264348
269694,264277
270359,269631
270360,269632
270367,268447
270519,244142
270530,226414
270564,200985
270821,201143
270876,201144
270888,269682
270900,257776
271079,260805
271337,261505
271465,261508
272161,266036
272237,267385
272287,262162
272297,260428
272328,244377
272334,265298
272383,264618
272734,270808
272824,270186
272933,263391
273032,270398
273033,270538
273259,271026
273287,273286
273393,266556
273547,266641
273548,266765
273703,238706
273794,271579
273796,271085
273866,272689
273955,266490
273982,266951
274334,271815
274544,274334
