No#,DESCRIPCION ,DESCRIPCION EXTENDIDA,MARCA,MODELO,  No# SERIE,FAMILIA,COD CDA,FACTURA,PROVEEDOR,F# ADQ,V# ADQ,F# GT,UB,RESPONSABLE,EST
1190,13,METALICO,48,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1191,15,METALICO,162,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1192,16,METALICO,162,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1193,17,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1194,250,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1195,18,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1196,224,METALICO,155,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1197,20,METALICO,43,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1198,19,METALICO,157,47,001-E347,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1199,23,METALICO,164,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1200,276,METALICO,118,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1201,325,RECTA-METALICA,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1202,265,METALICO,118,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1203,265,METALICO,118,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1204,281,METALICO,180,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1205,21,METALICO (CANALES),43,3,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1206,22,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1207,21,METALICO (CANALES),157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1208,328,METALICO-AZUL,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1209,12,METALICO  RECTO,43,151,045-009-00,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1210,12,METALICO  RECTO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1211,4,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1212,327,Ninguno,46,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1213,254,Ninguno,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1214,252,Ninguno,43,4,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1215,287,BLANCA,123,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1216,54,PLASTICAS ROJAS,147,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1217,54,PLASTICAS ROJAS,147,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
