iIdBodega,iIdTipoMov,iIdMovimiento,iIdproducto,dCantidad,iIdBodegaSolicita,dCantidadAprobada,StockActual
1,1,854,51,7.0000,6,7.0000,13.00
1,1,854,168,5.0000,6,5.0000,34.00
1,1,855,167,3.0000,6,3.0000,12.00
1,1,554,192,2.0000,3,2.0000,2.00
1,1,554,164,2.0000,3,2.0000,6.00
1,1,555,232,100.0000,3,100.0000,850.00
1,1,555,176,3.0000,3,3.0000,0.00
1,1,555,236,1.0000,3,1.0000,1.00
1,1,14,233,12.0000,8,12.0000,67.00
1,1,14,235,12.0000,8,12.0000,952.00
1,1,14,234,12.0000,8,12.0000,79.00
1,1,14,229,10.0000,8,10.0000,80.00
1,1,856,2,8.0000,6,8.0000,0.00
1,1,856,3,5.0000,6,5.0000,0.00
1,1,856,168,10.0000,6,10.0000,24.00
1,1,857,167,3.0000,6,3.0000,9.00
1,1,857,52,1.0000,6,1.0000,1.00
1,1,15,47,5.0000,8,5.0000,0.00
1,1,15,22,1.0000,8,1.0000,0.00
1,1,15,2,5.0000,8,5.0000,0.00
1,1,15,3,6.0000,8,6.0000,0.00
1,1,23,160,4.0000,1,4.0000,0.00
1,1,23,136,2.0000,1,2.0000,0.00
1,1,23,122,2.0000,1,2.0000,0.00
1,1,858,2,2.0000,6,2.0000,5.00
1,1,858,3,5.0000,6,5.0000,10.00
1,1,858,47,5.0000,6,5.0000,0.00
1,1,858,237,2.0000,6,2.0000,998.00
1,1,858,22,1.0000,6,1.0000,1.00
1,1,859,160,4.0000,6,4.0000,8.00
1,1,859,122,2.0000,6,2.0000,6.00
1,1,859,136,2.0000,6,2.0000,1.00
1,1,556,164,3.0000,3,3.0000,19.00
1,1,557,232,100.0000,3,100.0000,750.00
1,1,558,192,2.0000,3,2.0000,0.00
1,1,558,164,2.0000,3,2.0000,0.00
1,1,558,68,1.0000,3,1.0000,0.00
1,1,559,136,1.0000,3,1.0000,0.00
1,1,559,122,4.0000,3,4.0000,0.00
1,1,559,192,2.0000,3,2.0000,4.00
1,1,559,164,2.0000,3,2.0000,17.00
1,1,559,68,1.0000,3,1.0000,6.00
1,1,860,3,5.0000,6,5.0000,0.00
1,1,861,3,5.0000,6,5.0000,0.00
1,1,862,237,49.0000,6,49.0000,949.00
1,1,862,3,5.0000,6,5.0000,5.00
1,1,863,167,3.0000,6,3.0000,6.00
1,1,863,122,2.0000,6,2.0000,0.00
1,1,864,3,5.0000,6,5.0000,0.00
1,1,864,4,3.0000,6,3.0000,4.00
1,1,864,168,2.0000,6,2.0000,22.00
1,1,864,51,5.0000,6,5.0000,8.00
1,1,865,160,3.0000,6,3.0000,5.00
1,1,865,167,3.0000,6,3.0000,3.00
1,1,172,202,1.0000,5,1.0000,0.00
1,1,173,46,1.0000,5,1.0000,4.00
1,1,560,164,2.0000,3,2.0000,15.00
1,1,560,192,1.0000,3,1.0000,3.00
1,1,174,235,10.0000,5,10.0000,942.00
1,1,174,233,10.0000,5,10.0000,57.00
1,1,174,234,10.0000,5,10.0000,69.00
1,1,174,229,10.0000,5,10.0000,70.00
1,1,866,2,5.0000,6,5.0000,0.00
1,1,866,4,4.0000,6,4.0000,0.00
1,1,866,168,5.0000,6,5.0000,17.00
1,1,866,51,5.0000,6,5.0000,3.00
1,1,867,167,3.0000,6,3.0000,0.00
1,1,867,52,1.0000,6,1.0000,0.00
1,1,868,3,5.0000,6,5.0000,10.00
1,1,869,191,1.0000,6,1.0000,0.00
1,1,869,165,1.0000,6,1.0000,0.00
1,1,869,122,2.0000,6,2.0000,2.00
1,1,561,192,1.0000,3,1.0000,2.00
1,1,561,164,2.0000,3,2.0000,13.00
1,1,561,136,1.0000,3,1.0000,3.00
1,1,562,176,2.0000,3,2.0000,18.00
1,1,870,3,5.0000,6,5.0000,5.00
1,1,175,210,150.0000,5,150.0000,0.00
1,1,563,192,1.0000,3,1.0000,5.00
1,1,563,164,1.0000,3,1.0000,12.00
1,1,564,232,1.0000,3,1.0000,749.00
1,1,564,201,1.0000,3,1.0000,5.00
1,1,564,176,1.0000,3,1.0000,17.00
1,1,564,181,5.0000,3,5.0000,7.00
1,1,564,170,5.0000,3,5.0000,40.00
1,1,565,164,1.0000,3,1.0000,11.00
1,1,565,192,1.0000,3,1.0000,4.00
1,1,566,176,1.0000,3,1.0000,16.00
1,1,566,232,99.0000,3,99.0000,650.00
1,1,176,233,8.0000,5,8.0000,49.00
1,1,176,234,8.0000,5,8.0000,61.00
1,1,176,235,8.0000,5,8.0000,934.00
1,1,567,176,1.0000,3,1.0000,15.00
1,1,567,201,2.0000,3,2.0000,3.00
1,1,567,232,50.0000,3,50.0000,600.00
1,1,871,3,5.0000,6,5.0000,0.00
1,1,872,160,4.0000,6,4.0000,1.00
1,1,872,167,3.0000,6,3.0000,21.00
1,1,568,164,3.0000,3,3.0000,8.00
1,1,568,192,1.0000,3,1.0000,7.00
1,1,568,122,4.0000,3,4.0000,2.00
1,1,569,175,1.0000,3,1.0000,0.00
1,1,569,174,1.0000,3,1.0000,2.00
1,1,569,181,5.0000,3,5.0000,2.00
1,1,569,170,5.0000,3,5.0000,35.00
1,1,569,232,50.0000,3,50.0000,550.00
1,1,570,176,4.0000,3,4.0000,11.00
1,1,873,4,5.0000,6,5.0000,5.00
1,1,873,2,5.0000,6,5.0000,25.00
1,1,873,168,5.0000,6,5.0000,27.00
1,1,873,51,3.0000,6,3.0000,0.00
1,1,873,22,1.0000,6,1.0000,0.00
1,1,874,167,3.0000,6,3.0000,18.00
1,1,874,122,2.0000,6,2.0000,0.00
1,1,16,229,10.0000,8,10.0000,60.00
1,1,571,192,2.0000,3,2.0000,0.00
1,1,571,164,2.0000,3,2.0000,0.00
1,1,572,176,2.0000,3,2.0000,0.00
1,1,572,181,2.0000,3,2.0000,0.00
1,1,572,199,1.0000,3,1.0000,0.00
1,1,177,233,5.0000,5,5.0000,44.00
1,1,177,235,5.0000,5,5.0000,929.00
1,1,177,234,5.0000,5,5.0000,56.00
1,1,177,231,8.0000,5,8.0000,3.00
1,1,573,164,4.0000,3,4.0000,0.00
1,1,573,192,2.0000,3,2.0000,0.00
1,1,573,68,1.0000,3,1.0000,0.00
1,1,875,3,10.0000,6,10.0000,10.00
1,1,574,192,1.0000,3,1.0000,0.00
1,1,574,164,1.0000,3,1.0000,0.00
1,1,575,176,1.0000,3,1.0000,0.00
1,1,575,199,1.0000,3,1.0000,0.00
1,1,576,176,1.0000,3,1.0000,0.00
1,1,576,199,1.0000,3,1.0000,0.00
1,1,576,181,2.0000,3,2.0000,0.00
1,1,577,199,1.0000,3,1.0000,0.00
1,1,577,180,1.0000,3,1.0000,0.00
1,1,577,181,2.0000,3,2.0000,0.00
1,1,577,176,1.0000,3,1.0000,0.00
1,1,578,164,4.0000,3,4.0000,4.00
1,1,578,192,3.0000,3,3.0000,4.00
1,1,579,176,4.0000,3,4.0000,5.00
1,1,579,232,100.0000,3,100.0000,450.00
1,1,579,181,2.0000,3,2.0000,0.00
1,1,579,199,1.0000,3,1.0000,1.00
1,1,579,180,1.0000,3,1.0000,0.00
1,1,580,178,1.0000,3,1.0000,1.00
1,1,580,176,2.0000,3,2.0000,5.00
1,1,581,192,1.0000,3,1.0000,3.00
1,1,581,164,1.0000,3,1.0000,3.00
1,1,581,122,2.0000,3,2.0000,0.00
1,1,581,136,1.0000,3,1.0000,6.00
1,1,582,176,4.0000,3,4.0000,1.00
1,1,582,232,100.0000,3,100.0000,350.00
1,1,876,3,8.0000,6,8.0000,22.00
1,1,876,2,8.0000,6,8.0000,32.00
1,1,876,4,4.0000,6,4.0000,11.00
1,1,877,160,4.0000,6,4.0000,9.00
1,1,877,167,3.0000,6,3.0000,15.00
1,1,877,122,2.0000,6,2.0000,0.00
1,1,877,136,1.0000,6,1.0000,6.00
1,1,583,192,1.0000,3,1.0000,2.00
1,1,583,164,2.0000,3,2.0000,1.00
1,1,584,198,1.0000,3,1.0000,5.00
1,1,584,176,2.0000,3,2.0000,9.00
1,1,584,236,1.0000,3,1.0000,0.00
1,1,878,51,5.0000,6,5.0000,15.00
1,1,878,3,5.0000,6,5.0000,17.00
1,1,879,167,2.0000,6,2.0000,13.00
1,1,585,164,1.0000,3,1.0000,18.00
1,1,585,192,1.0000,3,1.0000,5.00
1,1,585,68,1.0000,3,1.0000,5.00
1,1,586,115,10.0000,3,10.0000,2.00
1,1,586,201,1.0000,3,1.0000,2.00
1,1,178,233,12.0000,5,12.0000,32.00
1,1,178,234,12.0000,5,12.0000,44.00
1,1,178,235,12.0000,5,12.0000,917.00
1,1,178,229,10.0000,5,10.0000,50.00
1,1,587,176,3.0000,3,3.0000,6.00
1,1,587,115,2.0000,3,2.0000,0.00
1,1,587,170,10.0000,3,10.0000,25.00
1,1,880,3,5.0000,6,5.0000,12.00
1,1,880,2,3.0000,6,3.0000,29.00
1,1,880,14,2.0000,6,2.0000,3.00
1,1,880,51,6.0000,6,6.0000,9.00
1,1,880,168,5.0000,6,5.0000,22.00
1,1,881,167,3.0000,6,3.0000,10.00
1,1,881,160,3.0000,6,3.0000,6.00
1,1,588,136,1.0000,3,1.0000,5.00
1,1,588,122,2.0000,3,2.0000,2.00
1,1,588,192,1.0000,3,1.0000,4.00
1,1,588,164,2.0000,3,2.0000,16.00
1,1,589,176,2.0000,3,2.0000,4.00
1,1,589,181,5.0000,3,5.0000,20.00
1,1,590,192,1.0000,3,1.0000,3.00
1,1,590,164,2.0000,3,2.0000,14.00
1,1,590,122,2.0000,3,2.0000,0.00
1,1,591,176,3.0000,3,3.0000,1.00
1,1,882,3,3.0000,6,3.0000,29.00
1,1,882,51,5.0000,6,5.0000,14.00
1,1,883,167,3.0000,6,3.0000,7.00
1,1,883,160,2.0000,6,2.0000,4.00
1,1,179,231,3.0000,5,3.0000,0.00
1,1,179,229,10.0000,5,10.0000,0.00
1,1,180,231,3.0000,5,3.0000,0.00
1,1,181,229,10.0000,5,10.0000,40.00
1,1,182,234,15.0000,5,15.0000,29.00
1,1,182,233,15.0000,5,15.0000,17.00
1,1,182,235,15.0000,5,15.0000,902.00
1,1,592,164,2.0000,3,2.0000,12.00
1,1,592,192,1.0000,3,1.0000,2.00
1,1,593,176,1.0000,3,1.0000,0.00
1,1,593,201,1.0000,3,1.0000,1.00
1,1,884,3,6.0000,6,6.0000,23.00
1,1,884,2,5.0000,6,5.0000,24.00
1,1,884,51,5.0000,6,5.0000,9.00
1,1,594,192,1.0000,3,1.0000,5.00
1,1,594,164,3.0000,3,3.0000,6.00
1,1,594,122,2.0000,3,2.0000,2.00
1,1,594,136,1.0000,3,1.0000,3.00
1,1,594,68,1.0000,3,1.0000,4.00
1,1,595,176,4.0000,3,4.0000,26.00
1,1,595,232,100.0000,3,100.0000,250.00
1,1,595,199,1.0000,3,1.0000,0.00
