iiddocument,taxidemisor,tipo_doc,Talonario,NumFactura,documentno,tosend,fecha_emision,taxidreceptor
409,9.10436E+11,1,1130705549,32729,001-002-000000067,N,NULL,NULL
410,9.10436E+11,1,1130705549,32729,001-002-000000067,N,NULL,NULL
411,9.10436E+11,1,1130705549,32729,001-002-000000067,N,NULL,NULL
412,9.10436E+11,1,1130705549,32730,001-002-000000068,N,NULL,NULL
413,9.10436E+11,1,1130705549,32730,001-002-000000068,N,NULL,NULL
414,9.10436E+11,1,1130705549,32730,001-002-000000068,N,NULL,NULL
415,9.09807E+11,1,1130503926,34238,001-002-000000087,N,NULL,NULL
416,9.09807E+11,1,1130503926,34239,001-002-000000088,N,NULL,NULL
417,9.10436E+11,1,1130705549,32731,001-002-000000069,N,NULL,NULL
418,9.10436E+11,1,1130705549,32731,001-002-000000069,N,NULL,NULL
419,9.10436E+11,1,1130705549,32731,001-002-000000069,N,NULL,NULL
420,9.09807E+11,1,1130503926,34240,001-002-000000089,N,NULL,NULL
421,9.09807E+11,1,1130503926,34241,001-002-000000090,N,NULL,NULL
422,9.09807E+11,1,1130503926,34242,001-002-000000091,N,NULL,NULL
423,9.10436E+11,1,1130705549,32732,001-002-000000070,N,NULL,NULL
424,9.10436E+11,1,1130705549,32732,001-002-000000070,N,NULL,NULL
425,9.10436E+11,1,1130705549,32732,001-002-000000070,N,NULL,NULL
426,9.09807E+11,1,1130503926,34243,001-002-000000092,N,NULL,NULL
427,9.10436E+11,1,1130705549,32733,001-002-000000071,N,NULL,NULL
428,9.10436E+11,1,1130705549,32733,001-002-000000071,N,NULL,NULL
429,9.10436E+11,1,1130705549,32733,001-002-000000071,N,NULL,NULL
430,9.09807E+11,1,1130503926,34244,001-002-000000093,N,NULL,NULL
431,9.10436E+11,1,1130705549,32734,001-002-000000072,N,NULL,NULL
432,9.10436E+11,1,1130705549,32734,001-002-000000072,N,NULL,NULL
433,9.10436E+11,1,1130705549,32734,001-002-000000072,N,NULL,NULL
434,9.10436E+11,1,1130705549,32735,001-002-000000073,N,NULL,NULL
435,9.10436E+11,1,1130705549,32735,001-002-000000073,N,NULL,NULL
436,9.10436E+11,1,1130705549,32735,001-002-000000073,N,NULL,NULL
437,9.10436E+11,1,1130705549,32736,001-002-000000074,N,NULL,NULL
438,9.10436E+11,1,1130705549,32736,001-002-000000074,N,NULL,NULL
439,9.10436E+11,1,1130705549,32736,001-002-000000074,N,NULL,NULL
440,9.10436E+11,1,1130705549,32737,001-002-000000075,N,NULL,NULL
441,9.10436E+11,1,1130705549,32737,001-002-000000075,N,NULL,NULL
442,9.10436E+11,1,1130705549,32737,001-002-000000075,N,NULL,NULL
443,9.10436E+11,1,1130705549,32738,001-002-000000076,N,NULL,NULL
444,9.10436E+11,1,1130705549,32738,001-002-000000076,N,NULL,NULL
445,9.10436E+11,1,1130705549,32738,001-002-000000076,N,NULL,NULL
446,9.09807E+11,1,1130503926,34245,001-002-000000094,N,NULL,NULL
447,9.09807E+11,1,1130503926,34246,001-002-000000095,N,NULL,NULL
448,9.09807E+11,1,1130503926,34247,001-002-000000096,N,NULL,NULL
449,9.09807E+11,1,1130503926,34248,001-002-000000097,N,NULL,NULL
450,9.10436E+11,1,1130705549,32739,001-002-000000077,N,NULL,NULL
451,9.10436E+11,1,1130705549,32739,001-002-000000077,N,NULL,NULL
452,9.10436E+11,1,1130705549,32739,001-002-000000077,N,NULL,NULL
453,9.10436E+11,1,1130705549,32740,001-002-000000078,N,NULL,NULL
454,9.10436E+11,1,1130705549,32740,001-002-000000078,N,NULL,NULL
455,9.10436E+11,1,1130705549,32740,001-002-000000078,N,NULL,NULL
456,9.10436E+11,1,1130705549,32741,001-002-000000079,N,NULL,NULL
457,9.10436E+11,1,1130705549,32741,001-002-000000079,N,NULL,NULL
458,9.10436E+11,1,1130705549,32741,001-002-000000079,N,NULL,NULL
459,9.10436E+11,1,1130705549,32742,001-002-000000080,N,NULL,NULL
460,9.10436E+11,1,1130705549,32742,001-002-000000080,N,NULL,NULL
461,9.10436E+11,1,1130705549,32742,001-002-000000080,N,NULL,NULL
462,9.10436E+11,1,1130705549,32743,001-002-000000081,N,NULL,NULL
463,9.10436E+11,1,1130705549,32743,001-002-000000081,N,NULL,NULL
464,9.10436E+11,1,1130705549,32743,001-002-000000081,N,NULL,NULL
465,9.10436E+11,1,1130705549,32744,001-002-000000082,N,NULL,NULL
466,9.10436E+11,1,1130705549,32744,001-002-000000082,N,NULL,NULL
467,9.10436E+11,1,1130705549,32744,001-002-000000082,N,NULL,NULL
468,9.09807E+11,1,1130503926,34249,001-002-000000098,N,NULL,NULL
469,9.09807E+11,1,1130503926,34250,001-002-000000099,N,NULL,NULL
470,9.09807E+11,1,1130503926,34251,001-002-000000100,N,NULL,NULL
471,9.09807E+11,1,1130503926,34252,001-002-000000101,N,NULL,NULL
472,9.09807E+11,1,1130503926,34253,001-002-000000102,N,NULL,NULL
473,9.10436E+11,1,1130705549,32745,001-002-000000083,N,NULL,NULL
474,9.10436E+11,1,1130705549,32745,001-002-000000083,N,NULL,NULL
475,9.10436E+11,1,1130705549,32745,001-002-000000083,N,NULL,NULL
476,9.09807E+11,1,1130503926,34254,001-002-000000103,N,NULL,NULL
477,9.09807E+11,1,1130503926,34255,001-002-000000104,N,NULL,NULL
478,9.10436E+11,1,1130705549,32746,001-002-000000084,N,NULL,NULL
479,9.10436E+11,1,1130705549,32746,001-002-000000084,N,NULL,NULL
480,9.10436E+11,1,1130705549,32746,001-002-000000084,N,NULL,NULL
481,9.10436E+11,1,1130705549,32747,001-002-000000085,N,NULL,NULL
482,9.10436E+11,1,1130705549,32747,001-002-000000085,N,NULL,NULL
483,9.10436E+11,1,1130705549,32747,001-002-000000085,N,NULL,NULL
484,9.10436E+11,1,1130705549,32748,001-002-000000086,N,NULL,NULL
485,9.10436E+11,1,1130705549,32748,001-002-000000086,N,NULL,NULL
486,9.10436E+11,1,1130705549,32748,001-002-000000086,N,NULL,NULL
487,9.10436E+11,1,1130705549,32749,001-002-000000087,N,NULL,NULL
488,9.10436E+11,1,1130705549,32749,001-002-000000087,N,NULL,NULL
489,9.10436E+11,1,1130705549,32749,001-002-000000087,N,NULL,NULL
490,9.10436E+11,1,1130705549,32750,001-002-000000088,N,NULL,NULL
491,9.10436E+11,1,1130705549,32750,001-002-000000088,N,NULL,NULL
492,9.10436E+11,1,1130705549,32750,001-002-000000088,N,NULL,NULL
493,9.09807E+11,1,1130503926,34256,001-002-000000105,N,NULL,NULL
494,9.10436E+11,1,1130705549,32751,001-002-000000089,N,NULL,NULL
495,9.10436E+11,1,1130705549,32751,001-002-000000089,N,NULL,NULL
496,9.10436E+11,1,1130705549,32751,001-002-000000089,N,NULL,NULL
497,9.10436E+11,1,1130705549,32752,001-002-000000090,N,NULL,NULL
498,9.10436E+11,1,1130705549,32752,001-002-000000090,N,NULL,NULL
499,9.10436E+11,1,1130705549,32752,001-002-000000090,N,NULL,NULL
500,9.10436E+11,1,1130705549,32753,001-002-000000091,N,NULL,NULL
501,9.10436E+11,1,1130705549,32753,001-002-000000091,N,NULL,NULL
502,9.10436E+11,1,1130705549,32753,001-002-000000091,N,NULL,NULL
503,9.09807E+11,1,1130503926,34257,001-002-000000106,N,NULL,NULL
504,9.09807E+11,1,1130503926,34258,001-002-000000107,N,NULL,NULL
505,9.10436E+11,1,1130705549,32754,001-002-000000092,N,NULL,NULL
506,9.10436E+11,1,1130705549,32754,001-002-000000092,N,NULL,NULL
507,9.10436E+11,1,1130705549,32754,001-002-000000092,N,NULL,NULL
